id,symbol,name,nameid,rank,price_usd,percent_change_24h,percent_change_1h,percent_change_7d,price_btc,market_cap_usd,volume24,volume24a,csupply,tsupply,msupply
47305,UNI,Uniswap,uniswap,24,7.44,4.87,-0.09,-8.98,0.000207,4674361992.39,211598171.01359323,195355653.28238872,627904519.00,1000000000,1000000000
34406,ALGO,Algorand,algorand,25,0.700365,12.60,1.17,3.11,0.000019,4403045304.11,465529236.90617096,282961439.98224187,6286785541.00,5242765359.0244,
89,XLM,Stellar,stellar,26,0.169210,0.59,0.62,-9.23,0.000005,4193906441.16,210427214.80181137,211651664.31640846,24785213742.00,104303927518,104303927518
33830,ATOM,Cosmos,cosmos,27,17.62,0.72,0.39,-14.76,0.000490,3973050858.02,449859179.2971527,510781225.9682567,225488987.00,237928231,
28,XMR,Monero,monero,28,208.73,4.23,-0.10,-10.59,0.005808,3765279639.61,196450670.38911194,198191896.8653391,18038893.00,17993468.763506,
118,ETC,Ethereum Classic,ethereum-classic,29,27.80,0.10,0.10,-9.76,0.000774,3651786224.86,544878766.0213513,765987128.7751882,131348784.00,129777808.77282,210700000
44111,YOUC,YOUcash,youcash,30,0.498966,-0.53,-0.47,369.69,0.000014,3401418560.18,926787.1233952189,412751.958540732,6816934541.00,11000000000,11000000000
2741,VET,VeChain,vechain,31,0.046781,1.22,0.31,-8.63,0.000001,3008747750.49,254385981.05961365,323445338.6408466,64315576989.00,86712634466,86712634466
258,MANA,Decentraland,decentraland,32,1.44,0.39,-0.29,-19.41,0.000040,2622564432.59,181344940.0269745,215417914.12186894,1824609834.00,2193878227,
33819,CRO,Crypto.com Chain,crypto-com-chain,33,0.279290,-0.49,0.24,-27.90,0.000008,2592036410.89,21951566.53817487,27572543.043913655,9280821918.00,100000000000,
33536,MATIC,Matic Network,matic-network,34,1.04,0.62,0.40,-14.92,0.000029,2268339609.56,589934713.7558712,551807090.8412048,2175190262.00,10000000000,
32360,THETA,Theta Token,theta-token,35,2.21,-0.89,0.11,-19.01,0.000061,2205394754.52,195907473.55903023,210651125.48883098,1000000000.00,1000000000,
3682,XTZ,Tezos,tezos,36,2.49,2.08,0.33,-10.61,0.000069,2164248430.42,98455931.3423767,151314262.0456417,868937218.00,859580391.15649,
2679,EOS,EOS,eos,37,2.02,1.74,0.41,-13.73,0.000056,1962666305.00,396115814.80578125,412692874.75621414,972722633.00,1006245120,1006245120
45161,SAND,The Sandbox,the-sandbox,38,2.05,-1.39,0.02,-16.80,0.000057,1875604686.30,335428797.0441929,419532140.81594855,913246119.00,3000000000,3000000000
33644,FTM,Fantom,fantom,39,0.727257,1.27,0.66,-24.26,0.000020,1850872426.34,486935229.6484659,598376790.1212766,2545006273.00,2545006273,3175000000
45985,CAKE,PancakeSwap,pancakeswap,40,7.50,2.87,0.85,-7.14,0.000209,1841558257.35,167279838.52356726,185095361.6952201,245654140.00,245654140.25715,
46018,AAVE,Aave,aave,41,137.21,-0.93,0.45,-16.26,0.003819,1838363179.61,1270566691.3707905,1304531166.5688286,13398608.00,16000000,16000000
32607,FIL,Filecoin,filecoin,42,13.77,1.32,0.08,-23.07,0.000383,1790555696.66,1261503993.648097,1164760214.7307305,130032829.00,106820493,2000000000
134,ZEC,Zcash,zcash,43,123.03,2.27,-0.01,-15.03,0.003423,1758980383.19,232853787.48878965,234879402.56279108,14296888.00,14296888,21000000
